"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Date entered ""Published and curated ([Archived] Subgraph upgrade grants)""","hs_v2_date_entered_136059794","datetime","The date and time when the deal entered the 'Published and curated' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date entered ""Connected to production ([Archived] Subgraph upgrade grants)""","hs_v2_date_entered_136059795","datetime","The date and time when the deal entered the 'Connected to production' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date entered ""RPC Provided (SE) (Chain Integration)""","hs_v2_date_entered_136845875","datetime","The date and time when the deal entered the 'RPC Provided (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date entered ""Using different solution ([Archived] Subgraph upgrade grants)""","hs_v2_date_entered_137968473","datetime","The date and time when the deal entered the 'Using different solution' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date entered ""Appointment scheduled ([Archived] Premium Service)""","hs_v2_date_entered_145861458","datetime","The date and time when the deal entered the 'Appointment scheduled' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date entered ""Qualified to buy ([Archived] Premium Service)""","hs_v2_date_entered_145861459","datetime","The date and time when the deal entered the 'Qualified to buy' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date entered ""Presentation scheduled ([Archived] Premium Service)""","hs_v2_date_entered_145861460","datetime","The date and time when the deal entered the 'Presentation scheduled' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date entered ""Verbal commitment given ([Archived] Premium Service)""","hs_v2_date_entered_145861461","datetime","The date and time when the deal entered the 'Verbal commitment given' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date entered ""Contract sent ([Archived] Premium Service)""","hs_v2_date_entered_145861462","datetime","The date and time when the deal entered the 'Contract sent' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date entered ""Closed won ([Archived] Premium Service)""","hs_v2_date_entered_145861463","datetime","The date and time when the deal entered the 'Closed won' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
