"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Number of times contacted","num_contacted_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","2.23%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","2.98%","",""
"Work interests","work_interests","string","","contact_activity","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1)","0.57%","",""
"Street Address","address","string","Contact's street address, including apartment or unit number.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Integration (1); Data sync mapping (1)","0%","",""
"Annual Revenue","annualrevenue","string","Annual company revenue","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%","",""
"City","city","string","A contact's city of residence","contactinformation","true","","false","true","false","false","false","true","HubSpot","Integration (1); Data sync mapping (1)","0%","",""
"Company Name","company","string","Name of the contact's company. This can be set independently from the name property on the contact's associated company.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Sales view (1)","0.09%","",""
"Country/Region","country","string","The contact's country/region of residence. This might be set via import, form, or integration.","contactinformation","true","","false","false","false","false","false","true","HubSpot","Data sync mapping (1)","0%","",""
"Create Date","createdate","datetime","The date that a contact entered the system","contactinformation","false","","true","true","false","false","false","true","HubSpot","Report (4)","100%","",""
"Discord ID","discord_id","string","Discord ID","contactinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","Form (1); Sales view (3); Properties v3 card (1)","0.36%","",""
"Email","email","string","A contact's email address","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (13); Object requirement (1); Report (1); Integration (1); Data sync mapping (3); Sales view (4); Properties v3 card (1)","99.51%","",""
"Fax Number","fax","string","A contact's primary fax number","contactinformation","true","","false","true","false","false","false","true","HubSpot","Data sync mapping (2)","0%","",""
"First Name","firstname","string","A contact's first name","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (11); Object requirement (1); Report (1); Integration (1); Data sync mapping (2)","2.86%","",""
"Github","github","string","Github username","contactinformation","true","","false","false","false","false","false","false","Felix von Hanstein","Properties v3 card (1)","1%","",""
"Hackathon Team Name","hackathon_team_name","string","","contactinformation","true","","false","false","false","false","false","false","Christina Mills","Inbounddb lists (1)","0.36%","",""
"HoW3 status","how3_status","enumeration","","contactinformation","true","Active; Inactive; VIP; Other","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (2)","0.57%","",""
"Enrichment opt out","hs_contact_enrichment_opt_out","bool","","contactinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Enrichment opt out timestamp","hs_contact_enrichment_opt_out_timestamp","datetime","Timestamp of when the contact opted out of being included in the HubSpot Enrichment database","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Member email","hs_content_membership_email","string","Email used to send private content information to members","contactinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Email Confirmed","hs_content_membership_email_confirmed","bool","Email Confirmation status of user of Content Membership","contactinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Time enrolled in registration follow up emails","hs_content_membership_follow_up_enqueued_at","datetime","The time when the contact was first enrolled in the registration follow up email flow","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Registered At","hs_content_membership_registered_at","datetime","Datetime at which this user was set up for Content Membership","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Domain to which registration email was sent","hs_content_membership_registration_domain_sent_to","string","Domain to which the registration invitation email for Content Membership was sent to","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Time registration email was sent","hs_content_membership_registration_email_sent_at","datetime","Datetime at which this user was sent a registration invitation email for Content Membership","contactinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Country/Region Code","hs_country_region_code","string","The contact's two-letter country code.","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","contactinformation","false","","true","true","false","true","false","true","HubSpot","","24.74%","",""
"Email Domain","hs_email_domain","string","A contact's email address domain","contactinformation","false","","true","true","true","false","false","true","HubSpot","Inbounddb lists (1)","99.51%","",""
